uniprot_id,gene,description,in_hpa_muscle,in_blood_blacklist,reason
Q9Y2Q5,LAMTOR2,Ragulator complex protein LAMTOR2,TRUE,FALSE,Missingness
P08779,KRT16,"Keratin, type I cytoskeletal 16",FALSE,FALSE,Contaminant
P63172,DYNLT1,Dynein light chain Tctex-type 1,TRUE,FALSE,Missingness
Q9H9J2,MRPL44,"39S ribosomal protein L44, mitochondrial",TRUE,FALSE,Missingness
P32456,GBP2,Guanylate-binding protein 2,TRUE,FALSE,Missingness
P47929,LGALS7,Galectin-7,TRUE,FALSE,Missingness
Q8N183,NDUFAF2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2,TRUE,FALSE,Missingness
Q9Y5K5,UCHL5,Ubiquitin carboxyl-terminal hydrolase isozyme L5,TRUE,FALSE,Missingness
P36954,POLR2I,DNA-directed RNA polymerase II subunit RPB9,TRUE,FALSE,Missingness
P0DMM9,SULT1A3,Sulfotransferase 1A3,TRUE,FALSE,Missingness
P45877,PPIC,Peptidyl-prolyl cis-trans isomerase C,TRUE,FALSE,Missingness
Q9Y295,DRG1,Developmentally-regulated GTP-binding protein 1,TRUE,FALSE,Missingness
O75153,CLUH,Clustered mitochondria protein homolog,TRUE,FALSE,Missingness
P04233,CD74,HLA class II histocompatibility antigen gamma chain,TRUE,FALSE,Missingness
Q9Y6E0,STK24,Serine/threonine-protein kinase 24,TRUE,FALSE,Missingness
Q9Y5X1,SNX9,Sorting nexin-9,TRUE,FALSE,Missingness
Q9BVG4,PBDC1,Protein PBDC1,TRUE,FALSE,Missingness
Q9NPY3,CD93,Complement component C1q receptor,TRUE,FALSE,Missingness
Q96LJ7,DHRS1,Dehydrogenase/reductase SDR family member 1,TRUE,FALSE,Missingness
Q6UX53,METTL7B,Methyltransferase-like protein 7B,TRUE,FALSE,Missingness
Q4G0F5,VPS26B,Vacuolar protein sorting-associated protein 26B,TRUE,FALSE,Missingness
Q86WA6,BPHL,Valacyclovir hydrolase,TRUE,FALSE,Missingness
Q9UMX5,NENF,Neudesin,TRUE,FALSE,Missingness
Q7L576,CYFIP1,Cytoplasmic FMR1-interacting protein 1,TRUE,FALSE,Missingness
P0C870,JMJD7,Bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7,TRUE,FALSE,Missingness
Q15276,RABEP1,Rab GTPase-binding effector protein 1,TRUE,FALSE,Missingness
Q6PI48,DARS2,"Aspartate--tRNA ligase, mitochondrial",TRUE,FALSE,Missingness
P51114,FXR1,Fragile X mental retardation syndrome-related protein 1,TRUE,FALSE,Missingness
P49840,GSK3A,Glycogen synthase kinase-3 alpha,TRUE,FALSE,Missingness
Q9H4I9,SMDT1,"Essential MCU regulator, mitochondrial",TRUE,FALSE,Missingness
O75937,DNAJC8,DnaJ homolog subfamily C member 8,TRUE,FALSE,Missingness
O75363,BCAS1,Breast carcinoma-amplified sequence 1,FALSE,FALSE,Contaminant
Q9NSK0,KLC4,Kinesin light chain 4,TRUE,FALSE,Missingness
Q96BW5,PTER,Phosphotriesterase-related protein,TRUE,FALSE,Missingness
Q9BVV7,TIMM21,Mitochondrial import inner membrane translocase subunit Tim21,TRUE,FALSE,Missingness
P01766,IGHV3-13,Immunoglobulin heavy variable 3-13,FALSE,FALSE,Contaminant
Q15036,SNX17,Sorting nexin-17,TRUE,FALSE,Missingness
Q96DA6,DNAJC19,Mitochondrial import inner membrane translocase subunit TIM14,TRUE,FALSE,Missingness
O43684,BUB3,Mitotic checkpoint protein BUB3,TRUE,FALSE,Missingness
Q14166,TTLL12,Tubulin--tyrosine ligase-like protein 12,TRUE,FALSE,Missingness
Q9BZE9,ASPSCR1,Tether containing UBX domain for GLUT4,TRUE,FALSE,Missingness
Q8TB22,SPATA20,Spermatogenesis-associated protein 20,TRUE,FALSE,Missingness
P08567,PLEK,Pleckstrin,TRUE,FALSE,Missingness
Q92667,AKAP1,"A-kinase anchor protein 1, mitochondrial",TRUE,FALSE,Missingness
Q8TD55,PLEKHO2,Pleckstrin homology domain-containing family O member 2,TRUE,FALSE,Missingness
Q6PI78,TMEM65,Transmembrane protein 65,TRUE,FALSE,Missingness
Q8IWE2,FAM114A1,Protein NOXP20,TRUE,FALSE,Missingness
Q86UT6,NLRX1,NLR family member X1,TRUE,FALSE,Missingness
Q15493,RGN,Regucalcin,TRUE,FALSE,Missingness
Q8IVP5,FUNDC1,FUN14 domain-containing protein 1,TRUE,FALSE,Missingness
Q9UDT6,CLIP2,CAP-Gly domain-containing linker protein 2,TRUE,FALSE,Missingness
Q9Y2Q9,MRPS28,"28S ribosomal protein S28, mitochondrial",TRUE,FALSE,Missingness
P05771,PRKCB,Protein kinase C beta type,FALSE,FALSE,Contaminant
Q08J23,NSUN2,RNA cytosine C(5)-methyltransferase NSUN2,TRUE,FALSE,Missingness
Q32MZ4,LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,TRUE,FALSE,Missingness
P42167,TMPO,"Lamina-associated polypeptide 2, isoforms beta/gamma",FALSE,FALSE,Contaminant
Q8WUX9,CHMP7,Charged multivesicular body protein 7,TRUE,FALSE,Missingness
Q6ICL3,TANGO2,Transport and Golgi organization protein 2 homolog,TRUE,FALSE,Missingness
P04430,IGKV1-16,Immunoglobulin kappa variable 1-16,FALSE,FALSE,Contaminant
Q9Y2H1,STK38L,Serine/threonine-protein kinase 38-like,TRUE,FALSE,Missingness
Q02413,DSG1,Desmoglein-1,TRUE,FALSE,Missingness
Q9BXS5,AP1M1,AP-1 complex subunit mu-1,TRUE,FALSE,Missingness
Q86YB7,ECHDC2,"Enoyl-CoA hydratase domain-containing protein 2, mitochondrial",TRUE,FALSE,Missingness
P00326,ADH1C,Alcohol dehydrogenase 1C,TRUE,FALSE,Missingness
Q7LG56,RRM2B,Ribonucleoside-diphosphate reductase subunit M2 B,TRUE,FALSE,Missingness
Q53EU6,GPAT3,Glycerol-3-phosphate acyltransferase 3,TRUE,FALSE,Missingness
Q13636,RAB31,Ras-related protein Rab-31,TRUE,FALSE,Missingness
Q92688,ANP32B,Acidic leucine-rich nuclear phosphoprotein 32 family member B,TRUE,FALSE,Missingness
P82663,MRPS25,"28S ribosomal protein S25, mitochondrial",TRUE,FALSE,Missingness
P42566,EPS15,Epidermal growth factor receptor substrate 15,TRUE,FALSE,Missingness
Q92616,GCN1,eIF-2-alpha kinase activator GCN1,TRUE,FALSE,Missingness
Q712K3,UBE2R2,Ubiquitin-conjugating enzyme E2 R2,TRUE,FALSE,Missingness
Q9GZZ9,UBA5,Ubiquitin-like modifier-activating enzyme 5,TRUE,FALSE,Missingness
Q15813,TBCE,Tubulin-specific chaperone E,TRUE,FALSE,Missingness
O15427,SLC16A3,Monocarboxylate transporter 4,TRUE,FALSE,Missingness
Q01085,TIAL1,Nucleolysin TIAR,TRUE,FALSE,Missingness
Q86TI2,DPP9,Dipeptidyl peptidase 9,TRUE,FALSE,Missingness
P26196,DDX6,Probable ATP-dependent RNA helicase DDX6,TRUE,FALSE,Missingness
Q8TCJ2,STT3B,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,TRUE,FALSE,Missingness
Q9P0P0,RNF181,E3 ubiquitin-protein ligase RNF181,TRUE,FALSE,Missingness
P19075,TSPAN8,Tetraspanin-8,TRUE,FALSE,Missingness
