"","uniprot_id","protein","gene","description","in_hpa_muscle","in_blood_blacklist","flag_source"
"52","P00748","FA12_HUMAN","F12","Coagulation factor XII",FALSE,FALSE,"HPA"
"53","P00915","CAH1_HUMAN","CA1","Carbonic anhydrase 1",FALSE,FALSE,"HPA"
"54","P01008","ANT3_HUMAN","SERPINC1","Antithrombin-III",FALSE,TRUE,"HPA"
"55","P01023","A2MG_HUMAN","A2M","Alpha-2-macroglobulin",TRUE,TRUE,"Blood Blacklist"
"56","P01024","CO3_HUMAN","C3","Complement C3",TRUE,TRUE,"Blood Blacklist"
"57","P01031","CO5_HUMAN","C5","Complement C5",FALSE,TRUE,"HPA"
"58","P01042","KNG1_HUMAN","KNG1","Kininogen-1",FALSE,TRUE,"HPA"
"59","P01593","KVD33_HUMAN","IGKV1D-33","Immunoglobulin kappa variable 1D-33",FALSE,FALSE,"HPA"
"60","P01601","KVD16_HUMAN","IGKV1D-16","Immunoglobulin kappa variable 1D-16",FALSE,FALSE,"HPA"
"61","P01602","KV105_HUMAN","IGKV1-5","Immunoglobulin kappa variable 1-5",FALSE,FALSE,"HPA"
"62","P01700","LV147_HUMAN","IGLV1-47","Immunoglobulin lambda variable 1-47",FALSE,FALSE,"HPA"
"63","P01714","LV319_HUMAN","IGLV3-19","Immunoglobulin lambda variable 3-19",FALSE,FALSE,"HPA"
"64","P01717","LV325_HUMAN","IGLV3-25","Immunoglobulin lambda variable 3-25",FALSE,FALSE,"HPA"
"65","P01718","LV327_HUMAN","IGLV3-27","Immunoglobulin lambda variable 3-27",FALSE,FALSE,"HPA"
"66","P01721","LV657_HUMAN","IGLV6-57","Immunoglobulin lambda variable 6-57",FALSE,FALSE,"HPA"
"67","P01743","HV146_HUMAN","IGHV1-46","Immunoglobulin heavy variable 1-46",FALSE,FALSE,"HPA"
"68","P01766","HV313_HUMAN","IGHV3-13","Immunoglobulin heavy variable 3-13",FALSE,FALSE,"HPA"
"69","P01768","HV330_HUMAN","IGHV3-30","Immunoglobulin heavy variable 3-30",FALSE,FALSE,"HPA"
"70","P01782","HV309_HUMAN","IGHV3-9","Immunoglobulin heavy variable 3-9",FALSE,FALSE,"HPA"
"71","P01834","IGKC_HUMAN","IGKC","Immunoglobulin kappa constant",FALSE,TRUE,"HPA"
"72","P01857","IGHG1_HUMAN","IGHG1","Immunoglobulin heavy constant gamma 1",TRUE,TRUE,"Blood Blacklist"
"73","P01859","IGHG2_HUMAN","IGHG2","Immunoglobulin heavy constant gamma 2",TRUE,TRUE,"Blood Blacklist"
"74","P01860","IGHG3_HUMAN","IGHG3","Immunoglobulin heavy constant gamma 3",FALSE,TRUE,"HPA"
"75","P01861","IGHG4_HUMAN","IGHG4","Immunoglobulin heavy constant gamma 4",FALSE,TRUE,"HPA"
"76","P01871","IGHM_HUMAN","IGHM","Immunoglobulin heavy constant mu",TRUE,TRUE,"Blood Blacklist"
"77","P01876","IGHA1_HUMAN","IGHA1","Immunoglobulin heavy constant alpha 1",TRUE,TRUE,"Blood Blacklist"
"78","P01877","IGHA2_HUMAN","IGHA2","Immunoglobulin heavy constant alpha 2",TRUE,TRUE,"Blood Blacklist"
"79","P01880","IGHD_HUMAN","IGHD","Immunoglobulin heavy constant delta",FALSE,FALSE,"HPA"
"80","P02008","HBAZ_HUMAN","HBZ","Hemoglobin subunit zeta",FALSE,FALSE,"HPA"
"81","P02042","HBD_HUMAN","HBD","Hemoglobin subunit delta",FALSE,TRUE,"HPA"
"82","P02549","SPTA1_HUMAN","SPTA1","Spectrin alpha chain, erythrocytic 1",FALSE,FALSE,"HPA"
"83","P02647","APOA1_HUMAN","APOA1","Apolipoprotein A-I",FALSE,TRUE,"HPA"
"84","P02649","APOE_HUMAN","APOE","Apolipoprotein E",TRUE,TRUE,"Blood Blacklist"
"85","P02652","APOA2_HUMAN","APOA2","Apolipoprotein A-II",FALSE,TRUE,"HPA"
"86","P02654","APOC1_HUMAN","APOC1","Apolipoprotein C-I",TRUE,TRUE,"Blood Blacklist"
