contrast,method_a,method_b,spearman_rho
Training_SURVvCTL,rlr_knn,vsn_knn,0.9949081345765657
Training_SURVvCTL,cycloess_knn,vsn_knn,0.986230324820158
Training_SURVvCTL,cycloess_knn,rlr_knn,0.9849577367603933
Training_SURV,rlr_none,vsn_none,0.9905189919770965
Training_SURV,cycloess_none,vsn_none,0.99082465522094
Training_SURV,vsn_bpca,vsn_none,0.9699520925826728
Training_SURV,rlr_bpca,vsn_none,0.9590692705543399
Training_SURV,cycloess_bpca,vsn_none,0.9637253388776408
Training_SURV,vsn_RF,vsn_none,0.9753853324012117
Training_SURV,rlr_RF,vsn_none,0.9624727248516323
Training_SURV,cycloess_RF,vsn_none,0.9666969303541759
Training_SURV,vsn_knn,vsn_none,0.9744056968365369
Training_SURV,rlr_knn,vsn_none,0.9641608333408992
Training_SURV,cycloess_knn,vsn_none,0.9694043198387551
Training_SURV,cycloess_none,rlr_none,0.9870565234891611
Training_SURV,vsn_bpca,rlr_none,0.9681072181921078
Training_SURV,rlr_bpca,rlr_none,0.9729624215792197
Training_SURV,cycloess_bpca,rlr_none,0.9640585420771179
Training_SURV,vsn_RF,rlr_none,0.971225588553063
Training_SURV,rlr_RF,rlr_none,0.9744904351615628
Training_SURV,cycloess_RF,rlr_none,0.9653674465618938
Training_SURV,vsn_knn,rlr_none,0.9694763474150272
Training_SURV,rlr_knn,rlr_none,0.9750702874142402
Training_SURV,cycloess_knn,rlr_none,0.967539168777559
Training_SURV,vsn_bpca,cycloess_none,0.9622633001340681
Training_SURV,rlr_bpca,cycloess_none,0.9554188645669719
Training_SURV,cycloess_bpca,cycloess_none,0.9711502319711648
Training_SURV,vsn_RF,cycloess_none,0.9705985249478709
Training_SURV,rlr_RF,cycloess_none,0.9624857382372611
Training_SURV,cycloess_RF,cycloess_none,0.9769423991235636
Training_SURV,vsn_knn,cycloess_none,0.9669659745361334
Training_SURV,rlr_knn,cycloess_none,0.9611311355843464
Training_SURV,cycloess_knn,cycloess_none,0.976427613799031
Training_SURV,rlr_bpca,vsn_bpca,0.9919940441062982
Training_SURV,cycloess_bpca,vsn_bpca,0.99208211143695
Training_SURV,vsn_RF,vsn_bpca,0.981329423264907
Training_SURV,rlr_RF,vsn_bpca,0.9754879263018682
Training_SURV,cycloess_RF,vsn_bpca,0.9714186708793721
Training_SURV,vsn_knn,vsn_bpca,0.976542313174691
Training_SURV,rlr_knn,vsn_bpca,0.9697762605582441
