uniprot_id,gene,n_miss,pct_miss,mean_int,class
Q8NBP7,PCSK9,4,13.793103448275861,17.726185108054377,MNAR
Q8NET5,NFAM1,0,0,21.97948895957808,Complete
Q8WZ19,KCTD13,4,13.793103448275861,21.9160197037733,MNAR
Q92496,CFHR4,0,0,23.08918561492105,Complete
Q92611,EDEM1,6,20.689655172413794,26.318132324723546,MNAR
Q92783,STAM,12,41.37931034482759,19.439327655552237,MNAR
Q92954,PRG4,0,0,22.839366250833972,Complete
Q969M1,TOMM40L,2,6.896551724137931,22.644372112399537,MNAR
Q96BP3,PPWD1,2,6.896551724137931,19.478406139621875,MNAR
Q96IY4,CPB2,0,0,24.783009037939056,Complete
Q96KN2,CNDP1,0,0,24.692845348760784,Complete
Q96PD5,PGLYRP2,0,0,26.813376706922433,Complete
Q99784,OLFM1,7,24.137931034482758,18.186530493944648,MNAR
Q9BT09,CNPY3,2,6.896551724137931,22.796142724502126,MNAR
Q9BWP8,COLEC11,2,6.896551724137931,21.083304507065918,MNAR
Q9BXR6,CFHR5,2,6.896551724137931,18.97862039864153,MNAR
Q9GZV1,ANKRD2,1,3.4482758620689653,27.794425989279354,MNAR
Q9H0Q0,CYRIA,8,27.586206896551722,23.48860098245326,MNAR
Q9H4B7,TUBB1,10,34.48275862068966,18.367552259699305,MNAR
Q9H4L4,SENP3,14,48.275862068965516,27.9396281187376,MNAR
Q9HDC9,APMAP,0,0,19.629256769949002,Complete
Q9NPD5,SLCO1B3,0,0,21.782836300276184,Complete
Q9NQ79,CRTAC1,1,3.4482758620689653,19.424224470349408,MNAR
Q9NQX6,ZNF331,6,20.689655172413794,29.92820588646825,MNAR
Q9NYW8,RBAK,5,17.24137931034483,21.51517610321366,MNAR
Q9NZP8,C1RL,6,20.689655172413794,22.442587120613258,MNAR
Q9UGM5,FETUB,0,0,24.692055453509862,Complete
Q9UGU0,TCF20,1,3.4482758620689653,20.708911892576634,MNAR
Q9UHG3,PCYOX1,0,0,21.536936388623957,Complete
Q9UIV8,SERPINB13,1,3.4482758620689653,18.01729892709144,MNAR
Q9UK55,SERPINA10,0,0,23.007434573056585,Complete
Q9ULU8,CADPS,2,6.896551724137931,21.742592210667,MNAR
Q9UNN8,PROCR,1,3.4482758620689653,18.755196404821948,MNAR
Q9UPQ9,TNRC6B,1,3.4482758620689653,19.506717070797354,MNAR
Q9UPR0,PLCL2,2,6.896551724137931,18.855374033600224,MNAR
Q9UPV0,CEP164,0,0,23.23691281536503,Complete
Q9Y219,JAG2,1,3.4482758620689653,24.673231349639472,MNAR
Q9Y3D8,AK6,0,0,27.719925592943703,Complete
Q9Y490,TLN1,6,20.689655172413794,21.222532445569094,MNAR
Q9Y5E4,PCDHB5,4,13.793103448275861,20.44886095273908,MNAR
Q9Y5Y7,LYVE1,0,0,22.70354958474484,Complete
Q9Y620,RAD54B,2,6.896551724137931,22.1949684266289,MNAR
Q9Y6R7,FCGBP,0,0,21.760023755630378,Complete
Q9Y6Z7,COLEC10,2,6.896551724137931,19.902437532603173,MNAR
