Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,CR006_T1,CR008_T1,CR009_T1,CR010_T1,CR015_T1,CR017_T1,CR018_T1,CR022_T1,CR072_T1,CR149_T1,CR163_T1,CR383_T1,CR006_T2,CR008_T2,CR009_T2,CR010_T2,CR015_T2,CR017_T2,CR018_T2,CR022_T2,CR072_T2,CR149_T2,CR163_T2,CR386_T2,PPS02,PPS28,PPS31,PPS32,PPS37,PPS40,PPS41,PPS44
A0A0J9YXX1,HV5X1_HUMAN,IGHV5-10-1,Immunoglobulin heavy variable 5-10-1,1,1,,6075270,,1471440,,2178680,,1097680,,,2100420,,,,2653760,,,1579790,,,4916410,,6670480,,433686,,,,,,854953,1417130
A5PL33,KRBA1_HUMAN,KRBA1,Protein KRBA1,1,1,23275900,10790200,24050000,9523810,29723600,19235900,12722100,16719800,32561900,17420800,15473200,17657200,71491900,18255000,44468200,21165200,25200500,30569100,11743900,21746600,23708100,20817900,22586600,9637220,16593600,13083200,11355800,,,17403800,36591300,17159300
B9A064,IGLL5_HUMAN,IGLL5,Immunoglobulin lambda-like polypeptide 5,1,1,1570070,16226200,,9068640,,5958660,4128420,3257710,,570603,11495800,5891670,,5971670,15677000,2690400,44180600,5023440,1117570,,4346900,1399100,37020800,1060840,2883620,948153,,,1027080,,30693200,4244070
O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13359500,
O00187,MASP2_HUMAN,MASP2,Mannan-binding lectin serine protease 2,6,6,22661300,10548200,14684000,15427500,11493300,23975100,17817400,18025000,11630700,9492840,20486200,10397800,,,18298400,15748700,10481400,20378100,18583100,22367500,8660210,4992410,18171100,15841100,17445400,12963800,15072000,14976700,11061100,18258200,8281190,14496000
O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1,1,1,,,,106187,,,,,,,,,,,,183024,,,,,,,,,,,153645,,291461,,,
O00391,QSOX1_HUMAN,QSOX1,Sulfhydryl oxidase 1,9,9,3211440,2541630,2845940,4328490,3107490,2798740,2741510,3052970,1886350,2818250,2611860,2018160,,,2798300,2823800,2251550,3810740,3513190,2502370,3091330,3473740,2719230,2603610,3446400,3668680,3671320,2420660,3100170,2830350,1428970,2810790
O00533,NCHL1_HUMAN,CHL1,Neural cell adhesion molecule L1-like protein,3,3,429607,,1267480,364652,447174,269943,437650,240257,,219565,285136,1091420,,,1253400,593923,260763,,484111,321176,321324,304633,219153,535991,229108,515080,254458,488801,352320,487572,,269736
O14786,NRP1_HUMAN,NRP1,Neuropilin-1,1,1,46747,,57998,29306,88386,,,58028,57966,62057,,,,,,42187,,,,63696,55487,47082,37304,,49860,42863,34891,54846,53334,53884,,
O14791,APOL1_HUMAN,APOL1,Apolipoprotein L1,4,4,45210100,30804800,64532800,89682800,27823400,70665600,50028600,63977900,52679400,93835900,55495600,52618700,36383400,37728100,42975800,72199000,32817500,136269000,79393400,62487500,70793300,75466500,64973800,33201400,85126900,78287900,75713700,61614600,158610000,43792600,48080000,91564700
O14950,ML12B_HUMAN,MYL12B,Myosin regulatory light chain 12B,2,2,,,,,,,,,,1260790,,,,,,3628110,,,,1152550,,,,,1195050,,2699680,,5360430,461628,,
O15033,AREL1_HUMAN,AREL1,Apoptosis-resistant E3 ubiquitin protein ligase 1,1,1,3162350,1452860,2553970,2778080,2801630,3679650,2571490,3741250,7007850,3520550,1352580,5773240,,1804040,2755590,4387780,2948650,3851530,2716230,4988760,6195470,3826390,1644610,3160020,3215870,4689030,2185250,3689810,5189550,4141720,1960400,3307190
O15056,SYNJ2_HUMAN,SYNJ2,Synaptojanin-2,1,1,10347200,4194300,2449170,4707650,3817010,4880360,6209460,5096400,2193920,3438340,5052440,5776880,,,3891300,1733690,4630440,2694010,5470790,5583660,3235330,3285070,3888020,5066390,796972,1804460,7707700,2247060,2417080,3103660,435298,4410960
O15078,CE290_HUMAN,CEP290,Centrosomal protein of 290 kDa,3,3,10462700,13356700,13214000,9725000,10007200,15019600,10537100,11794700,6948570,12750700,12296300,10315400,,4647500,12043600,13022900,15596100,18025200,13835500,12315800,16285300,13047800,11133700,7055460,10744400,13559100,16702600,13249700,13535100,15882400,11307800,9321860
O15090,ZN536_HUMAN,ZNF536,Zinc finger protein 536,1,1,1064160,,819798,390451,458165,853133,239018,558693,1732310,625478,683673,443677,,288688,631946,463201,610480,846090,422721,489544,537174,766960,,,869798,456836,437722,,,584946,,307954
O43497,CAC1G_HUMAN,CACNA1G,Voltage-dependent T-type calcium channel subunit alpha-1G,2,2,,1335720,681353,890813,2120670,1666440,824100,672425,,1071460,849678,810458,,,1127540,449083,2344870,845403,1310930,1066840,1494050,694647,633728,657722,587362,921053,1544250,545686,1191210,1137750,1449550,680659
O43681,GET3_HUMAN,GET3,ATPase GET3,1,1,,,400237,,,,353689,517495,,,,,,,,532355,,334687,245714,,,,,,,,,,340834,,,305190
O43707,ACTN4_HUMAN,ACTN4,Alpha-actinin-4,9,9,,1228070,,1323080,,,,,,805039,422775,,,,515995,1211460,942596,,,814783,,454642,260054,528726,487065,,2417110,,1677960,335449,242457,
O43866,CD5L_HUMAN,CD5L,CD5 antigen-like,8,8,6019820,23371000,4148820,9504630,4015390,4872730,4787650,11752100,1897950,6894570,11517200,4398300,,2123500,18658500,5458220,46041100,5056910,2540330,11767400,18538300,8692590,18323500,4366100,5846540,2544610,4141300,6695900,3658540,9464330,3777550,10397000
O75015,FCG3B_HUMAN,FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,1,1,261741,,309804,,,347466,494285,289380,378312,,,206185,,,,493292,,295910,613694,283145,477454,,,,466238,322035,,324863,170692,400383,,563730
O75083,WDR1_HUMAN,WDR1,WD repeat-containing protein 1,2,2,,,,417042,,,,,,235192,,,,,,553528,,,,372202,,,109023,,304153,,572554,,682257,,,
O75093,SLIT1_HUMAN,SLIT1,Slit homolog 1 protein,1,1,221925,62272,147566,298531,,,206718,113497,125129,,202363,147308,,,226132,243047,,248969,139523,112744,,139228,229971,,113667,147285,123083,132349,102497,175629,187463,323042
O75144,ICOSL_HUMAN,ICOSLG,ICOS ligand,1,1,80735,,,,,321389,,,,,,,,,,49698,,,,52695,201252,,,,,,,77000,91772,,,
O75635,SPB7_HUMAN,SERPINB7,Serpin B7,1,1,,,,52588,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O75636,FCN3_HUMAN,FCN3,Ficolin-3,8,8,131705000,74634800,81355300,109594000,93165500,111052000,102337000,102005000,58816100,16652000,86289400,95642800,36135800,69783900,100162000,92120900,113856000,122443000,102313000,89894800,94380800,19258800,86674500,78091600,94679000,61910900,61823900,63777600,81113500,102263000,122052000,113109000
O75882,ATRN_HUMAN,ATRN,Attractin,20,20,22028700,14255400,16549000,15707800,22069500,18681400,17984900,20957800,19296200,17624300,17822500,16242200,8523950,10959000,19263600,20500700,16676500,21223600,18585700,19518200,22685900,21135600,16602400,15107200,16865900,23333700,11887000,20807200,19088500,20923800,6494240,15324600
O94915,FRYL_HUMAN,FRYL,Protein furry homolog-like,1,1,504624,2308720,,2876200,485214,1054070,1404960,,511333,1026310,1200210,732020,,,4181290,299293,3269120,2837860,1976850,,2050990,1066760,3039760,3581460,936452,474932,534461,,96681,,,395685
O95359,TACC2_HUMAN,TACC2,Transforming acidic coiled-coil-containing protein 2,1,1,648537,,761142,,,611917,484630,,,,,2003200,7074160,,384689,,,,,688220,,,,,,,,,,,1556730,
O95445,APOM_HUMAN,APOM,Apolipoprotein M,5,5,117642000,113593000,113608000,135795000,131441000,109273000,104032000,59282500,94874200,71635500,182677000,119246000,76781100,65861700,109802000,159156000,148927000,132714000,116028000,50365600,161875000,66368700,173373000,97809900,81628400,111240000,94960000,121763000,152551000,73208000,53839100,95447300
O95497,VNN1_HUMAN,VNN1,Pantetheinase,4,4,840514,,587737,1218090,511551,681295,566883,2500200,774888,812720,787071,,,,,1206970,483138,742168,532689,1975990,639755,697851,479415,,936848,656548,595573,681586,334413,527809,506728,362882
O95810,CAVN2_HUMAN,CAVIN2,Caveolae-associated protein 2,3,3,,473224,,378962,,,,,,462213,401253,,,,,1523680,,,,636850,,277576,,,511872,,1199360,135970,1889260,,,
O95968,SG1D1_HUMAN,SCGB1D1,Secretoglobin family 1D member 1,1,1,3009650,,,2540150,3378070,,1740180,,1823220,,2679720,,,,1706100,2870270,,1468830,,2431420,3770420,3172680,2534060,2389160,2455830,3019910,3095330,2745120,,3636030,,
P00338,LDHA_HUMAN,LDHA,L-lactate dehydrogenase A chain,5,5,,141597,115903,1881220,152639,182359,115943,226647,,228138,213674,,,,39445,522802,184422,144257,192167,206419,,147393,240000,180208,223325,175210,561945,127794,467231,235570,,82298
P00441,SODC_HUMAN,SOD1,Superoxide dismutase [Cu-Zn],2,2,1353310,674585,,1809420,,816379,1144240,929533,1049390,684953,967293,1193040,,,,628987,1449450,1060970,,744878,922234,,,,,1094920,887806,708297,955297,,822168,656384
P00450,CERU_HUMAN,CP,Ceruloplasmin,45,45,661531000,651448000,796026000,840287000,1105770000,1407790000,702136000,480091000,880853000,817660000,795163000,614984000,766247000,657707000,771769000,939090000,1042390000,1506710000,728434000,565929000,913545000,851945000,881772000,852270000,785174000,763529000,707735000,986930000,900562000,813941000,597138000,609270000
P00488,F13A_HUMAN,F13A1,Coagulation factor XIII A chain,13,13,11362100,20423000,18712700,30891300,18357900,29849700,16485000,9402550,,19999200,20532200,22980700,16909300,15188000,21380000,24560700,31198600,20598700,25538200,13279100,16590000,13475200,14744200,18245600,14005000,20912800,30101400,19874400,19848400,17526900,22339700,12303700
P00491,PNPH_HUMAN,PNP,Purine nucleoside phosphorylase,2,2,,,,,,,,,,,,,,,,169896,,,,,,,,,,,157148,,116223,,,
P00558,PGK1_HUMAN,PGK1,Phosphoglycerate kinase 1,1,1,,,,148310,,,,,,,,,,,,,,,,33653,,,,,,,,,62496,,,
P00734,THRB_HUMAN,F2,Prothrombin,32,32,509928000,538488000,608690000,740092000,693505000,665624000,509151000,552275000,507099000,539689000,699614000,839093000,668678000,885522000,553008000,649489000,766252000,647045000,532113000,612891000,633530000,552690000,680245000,596552000,669642000,635465000,668899000,605313000,674862000,648234000,698295000,580165000
P00736,C1R_HUMAN,C1R,Complement C1r subcomponent,26,26,114411000,106967000,132967000,130251000,88499700,135373000,102226000,107284000,144123000,108017000,108248000,85759100,87185800,106724000,111858000,109886000,94479500,134140000,99609400,121828000,126680000,113118000,111251000,124867000,123260000,94275600,88802700,134335000,124964000,132506000,104849000,111912000
P00738,HPT_HUMAN,HP,Haptoglobin,22,22,7198400000,9108160000,11959800000,15636200000,9571880000,9023630000,7395080000,9043290000,13662600000,3793800000,11880700000,7330660000,8931690000,15805300000,9557070000,7714620000,9625990000,10229900000,6326370000,10754600000,13009600000,3445770000,14435300000,7583800000,13324400000,8904970000,10703700000,12728200000,7555500000,6416280000,23581300000,9489320000
P00739,HPTR_HUMAN,HPR,Haptoglobin-related protein,5,5,117108000,159570000,152906000,189563000,339118000,252134000,212382000,252099000,202188000,289067000,234284000,138348000,60230200,136288000,169716000,174971000,300286000,237303000,252948000,227647000,229641000,276735000,226981000,98462600,263683000,173403000,136243000,192347000,236580000,73820600,111568000,200651000
P00740,FA9_HUMAN,F9,Coagulation factor IX,8,8,12603700,11054700,13058500,19168800,12268200,12153200,10326100,12579800,10914500,12299900,12222900,11865000,7829810,8807200,9275860,13449300,11359200,12440600,9195420,14257000,10738500,13256600,14151400,9181340,12209800,14348900,18120900,14256100,10518600,13950700,10830600,11672700
P00742,FA10_HUMAN,F10,Coagulation factor X,11,11,29563800,18143600,28057300,35358400,32670200,32621700,20834200,21867600,34323000,26820900,28471900,30720500,20956200,20093500,23476100,32413100,30733200,32391400,19489100,26161500,31894200,26621400,24266700,19542100,30534900,37385700,27284300,35139200,27461400,27938300,28913100,26555300
P00746,CFAD_HUMAN,CFD,Complement factor D,5,5,5442000,4285350,4806740,5989040,5423500,3069820,3338520,4344190,3893460,3638910,3067220,2503150,,2922900,4040090,2461470,4331710,3466940,3980070,4991030,5729270,3899780,3943290,3863180,4197540,5474290,4030470,4015250,1477740,3889380,2215040,2557370
P00747,PLMN_HUMAN,PLG,Plasminogen,37,37,799914000,673759000,827784000,710448000,737201000,1070100000,791280000,775939000,788855000,823220000,829420000,936334000,519588000,741843000,769465000,987335000,859054000,948768000,792820000,987964000,811364000,805389000,777994000,712093000,918521000,879760000,809656000,716491000,756671000,857934000,700783000,594625000
P00748,FA12_HUMAN,F12,Coagulation factor XII,12,12,120347000,151783000,97503000,142539000,189582000,244001000,185398000,128352000,178828000,105315000,179397000,96470800,64555600,61531700,99733000,135054000,170682000,264594000,193463000,109070000,179029000,99329700,154831000,134401000,127724000,178145000,102345000,188098000,139764000,158585000,67349600,89796900
P00751,CFAB_HUMAN,CFB,Complement factor B,27,27,306335000,253346000,289844000,249647000,269188000,362470000,264445000,286955000,338351000,345760000,276585000,294694000,345369000,371291000,253371000,386785000,246866000,383902000,264105000,320219000,354547000,355879000,277025000,284490000,392016000,311387000,198253000,356126000,305205000,321172000,426013000,314800000
P00915,CAH1_HUMAN,CA1,Carbonic anhydrase 1,6,6,18147500,9261040,4781210,9300860,4038740,8514330,11660700,10719300,2757290,3439490,9604850,20435300,3822530,5364640,5399120,3259860,7195610,4414660,11468500,10208300,3775360,3711810,9141010,7928270,2125560,3766610,14303400,2266930,5257570,6144850,3291250,8713810
P00918,CAH2_HUMAN,CA2,Carbonic anhydrase 2,5,5,8786830,,3190880,7361510,,2996140,11365400,7587500,2426040,2503650,4212690,24270000,,,3079140,3046380,3791150,,6001410,8753290,,3871800,,,,2560070,16226200,,5208860,,,2383540
P01008,ANT3_HUMAN,SERPINC1,Antithrombin-III,24,24,486210000,356383000,473391000,526558000,429834000,343547000,401227000,323721000,446100000,323432000,471426000,402886000,523932000,433647000,442364000,495282000,387561000,416472000,431750000,329425000,488059000,361581000,473444000,361939000,531778000,489321000,459763000,514193000,441080000,471837000,373443000,351274000
