Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,CR006_T1,CR008_T1,CR009_T1,CR010_T1,CR015_T1,CR017_T1,CR018_T1,CR022_T1,CR072_T1,CR149_T1,CR163_T1,CR383_T1,CR006_T2,CR008_T2,CR009_T2,CR010_T2,CR015_T2,CR017_T2,CR018_T2,CR022_T2,CR072_T2,CR149_T2,CR163_T2,CR386_T2,PPS02,PPS28,PPS31,PPS32,PPS37,PPS40,PPS41,PPS44
P19652,A1AG2_HUMAN,ORM2,Alpha-1-acid glycoprotein 2,8,8,1202350000,879384000,1149200000,1456070000,1255390000,892282000,1006270000,963964000,1574740000,1113770000,721828000,946630000,1398730000,811979000,944063000,1123050000,1094890000,904272000,854367000,847285000,1140180000,1148860000,781247000,958129000,1278090000,1175450000,1183540000,1127600000,911597000,1148330000,680492000,1032800000
P19823,ITIH2_HUMAN,ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2,20,20,795174000,599201000,539545000,683364000,575393000,736113000,609985000,548804000,524903000,557484000,653549000,709857000,615648000,789926000,478271000,641151000,532249000,761227000,609471000,523177000,520740000,517167000,609236000,554430000,653128000,690213000,567919000,601727000,600681000,722160000,530852000,518042000
P19827,ITIH1_HUMAN,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,23,23,307853000,309393000,267836000,342254000,267439000,408516000,277199000,269345000,257591000,317836000,330874000,408221000,269804000,602470000,204963000,299407000,268314000,445378000,293704000,290796000,334708000,309774000,338287000,330114000,335227000,390027000,240706000,475143000,450586000,426210000,416079000,282256000
P19971,TYPH_HUMAN,TYMP,Thymidine phosphorylase,2,2,,,,1702200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P20742,PZP_HUMAN,PZP,Pregnancy zone protein,30,30,19705700,10067100,30280200,49136500,57605100,86116400,4544020,,5587810,23653600,2992410,3831250,9315440,7329860,27955000,11925700,57657600,84301400,6026640,,6980760,28248900,,35175000,54533200,18409800,33021200,53004800,58887000,10664300,4730290,2159780
P20851,C4BPB_HUMAN,C4BPB,C4b-binding protein beta chain,7,7,47459300,42701800,57184900,72784800,36486600,35201100,38007300,41681700,50239300,43533000,51479300,46177900,43043900,46034000,68751900,41281700,48998200,37755700,40190000,39463000,47871000,52409500,55028600,45666000,43500300,59184300,45789000,50001700,55002100,48454300,42130000,44911000
P20930,FILA_HUMAN,FLG,Filaggrin,3,3,,,,2266160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P21333,FLNA_HUMAN,FLNA,Filamin-A,56,56,,3255690,,3572560,,1431570,1186250,1091590,,3581530,2051420,1643650,,,1749260,9398620,3293030,,849958,4327830,822362,2027230,1795390,2299250,3782490,1033480,6646970,1506600,10262700,1834650,1278680,
P21817,RYR1_HUMAN,RYR1,Ryanodine receptor 1,1,1,238651,406084,354942,517202,469031,,,,923062,276649,,,,,295795,,,,,,625581,,,427635,,526157,,521025,,,,
P22102,PUR2_HUMAN,GART,Trifunctional purine biosynthetic protein adenosine-3,1,1,17865700,23517800,19464900,41459600,22963100,30058500,19782000,20331600,34140800,9034850,30716000,22184100,,17008300,13582400,17330900,26860600,25624100,15157500,34554900,36535900,5677030,33752700,15680200,27684700,18443600,29376900,31055100,17835900,12773200,60693800,25071400
P22105,TENX_HUMAN,TNXB,Tenascin-X,9,9,506445,790187,614868,595450,755286,495528,299759,740619,492572,426824,697929,,,,460148,552711,678588,679180,264036,778676,621808,603796,614443,652095,348255,335833,524197,626367,461993,670370,,313271
P22352,GPX3_HUMAN,GPX3,Glutathione peroxidase 3,6,6,25431600,28458500,26694200,37247200,30158000,40623700,30769800,23001800,30466000,26862400,26705400,26367400,18639400,27012300,26951500,48527200,27445500,42242500,27641200,29168000,27590100,23580000,30871700,30491600,28584600,26049000,35093200,24952800,32620100,28240100,23969500,20765900
P22392,NDKB_HUMAN,NME2,Nucleoside diphosphate kinase B,1,1,,,,396441,,,,,,,,,,,,,,,,,,,,,,,76765,,89527,,,
P22528,SPR1B_HUMAN,SPRR1B,Cornifin-B,2,2,,,,292188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22532,SPR2D_HUMAN,SPRR2D,Small proline-rich protein 2D,1,1,,,,1610350,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22792,CPN2_HUMAN,CPN2,Carboxypeptidase N subunit 2,9,9,51573100,28524500,53531500,61698300,44341700,60908000,38218600,40121000,36621700,35784000,44354700,63701200,38407400,56190500,51760300,61218900,52497200,65242800,35696500,48168800,49482900,33696400,39674900,38955400,50990000,60837000,59164400,47359200,50664400,45122900,80243200,49294900
P22891,PROZ_HUMAN,PROZ,Vitamin K-dependent protein Z,6,6,10804300,2613590,3771660,15748000,11214200,11060700,7369380,7035480,10205500,10793900,7206100,11452100,,,3572940,11305200,10339900,11298600,7598450,7854980,10202300,10636000,7413700,8660570,7183400,11818500,12354600,12788700,10862400,7250600,2688550,6939100
P23142,FBLN1_HUMAN,FBLN1,Fibulin-1,18,18,35731200,30762400,39930000,31742300,36591200,47863800,37926100,32115400,19057300,20201600,36372500,27707900,15556200,22316400,34559900,36876600,38248400,55022800,35579300,28122900,28073500,27658300,28097500,19075600,27537600,32882600,33481400,38395400,35484000,38738100,17878300,19883000
P23396,RS3_HUMAN,RPS3,Small ribosomal subunit protein uS3,1,1,,,,291817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23443,KS6B1_HUMAN,RPS6KB1,Ribosomal protein S6 kinase beta-1,1,1,1569090,3511290,,1301670,1770700,2028490,930025,,,2240720,1461880,1115560,,,2217560,666077,2819010,1196480,1773380,1444740,2176810,1215930,,732056,1163300,,1147770,,,1128680,658990,756794
P23470,PTPRG_HUMAN,PTPRG,Receptor-type tyrosine-protein phosphatase gamma,1,1,188265,,,322541,266516,,178295,244985,93685,,,272401,,,,185956,212791,,205695,276261,,,,122534,,,191468,279093,218820,247860,,
P23528,COF1_HUMAN,CFL1,Cofilin-1,1,1,176489,1275830,,2152390,,673627,440103,530572,,1209340,697472,,,,643107,2167040,950427,,,1614270,,648246,661044,806477,1010180,,2361520,381576,2106740,737012,,
P24592,IBP6_HUMAN,IGFBP6,Insulin-like growth factor-binding protein 6,1,1,1086630,701651,664012,,773672,895570,,920917,547953,,,,,,676625,569356,,,,758809,,,,,748477,1097140,,918718,,,,
P24821,TENA_HUMAN,TNC,Tenascin,1,1,,,98077,228676,,,,,95812,,,,,,,,,,,,,49340,,,,,101790,84758,69752,,,
P24844,MYL9_HUMAN,MYL9,Myosin regulatory light polypeptide 9,1,1,,,,,,,,,,,,,,,,1557380,1448030,,,,,,,,,,1542060,,3086700,,,
P25311,ZA2G_HUMAN,AZGP1,Zinc-alpha-2-glycoprotein,15,15,275855000,195388000,233089000,376878000,193936000,130487000,215021000,176818000,202068000,180364000,184040000,266360000,304168000,276845000,192699000,258067000,201921000,137804000,194777000,215884000,201643000,183774000,204294000,142588000,208268000,217705000,345142000,280932000,193091000,211380000,204111000,214119000
P25774,CATS_HUMAN,CTSS,Cathepsin S,1,1,90780,,82647,,42122,,65714,71266,50664,90944,,,,,48943,47768,79216,,,56576,73548,105465,,,91745,40118,,55452,43353,73457,,
P26038,MOES_HUMAN,MSN,Moesin,3,3,111713,101049,,336271,,,,98813,,129879,,,,,123740,284437,,,99235,207821,,138289,,167346,232285,,81173,89509,221120,,,
P26927,HGFL_HUMAN,MST1,Hepatocyte growth factor-like protein,19,19,10383400,6002360,9728620,6445290,7803820,8592980,8205650,9516300,7604590,9912380,9972650,,,4262680,8377380,12167600,9033990,7373730,9523880,11050700,9971040,9500430,9346680,7423090,9387240,9665000,10525300,9864690,9066520,10728800,4459020,5424630
P27105,STOM_HUMAN,STOM,Stomatin,2,2,46239,114615,,104245,,,,,,107290,,,,,72605,161545,,,,153481,,47668,,98012,,,212594,22110,218152,,,
P27169,PON1_HUMAN,PON1,Serum paraoxonase/arylesterase 1,13,13,158811000,190542000,239771000,214251000,238175000,164909000,207686000,131428000,125828000,113585000,193820000,222304000,221887000,253416000,216244000,268134000,288068000,166195000,196420000,116755000,112386000,132353000,182794000,115060000,146854000,177987000,145550000,181408000,229986000,208831000,152238000,186018000
P27482,CALL3_HUMAN,CALML3,Calmodulin-like protein 3,2,2,,,,1440930,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P27487,DPP4_HUMAN,DPP4,Dipeptidyl peptidase 4,2,2,,,,,,,,,57135,,,,,,,,,,,,,,,145188,,,,149574,139273,,,
P27918,PROP_HUMAN,CFP,Properdin,3,3,1109360,1037110,863733,1270060,1488170,1080410,582556,999705,1157220,1069870,703589,523460,,,1292280,910598,1440120,1141000,1073540,688722,1493770,1222480,746323,1153590,650973,1047930,1105670,984155,973836,1408510,,1454970
P28799,GRN_HUMAN,GRN,Progranulin,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,33853,25207,,,
P29317,EPHA2_HUMAN,EPHA2,Ephrin type-A receptor 2,1,1,3524020,1629740,760852,2203820,1012340,2480690,2116210,1126160,649554,1078180,2010150,2139790,,,975762,,1680550,604367,1592020,1036270,922933,1226630,1551270,729297,,647455,1620720,,,806899,,661726
P29508,SPB3_HUMAN,SERPINB3,Serpin B3,12,12,,,,36755400,,,,,,,,,,2033330,,,,,,,,,,,,,,,,,,
P29622,KAIN_HUMAN,SERPINA4,Kallistatin,17,17,129473000,89692200,86478600,116742000,79099400,92561500,102220000,73269000,78439600,70097500,83486100,105242000,111083000,102082000,95988800,97300400,86468400,93703100,107887000,79472500,99343000,74308000,69979000,68156900,73543000,123657000,125039000,80921800,58555800,94684400,61979300,86198700
P30041,PRDX6_HUMAN,PRDX6,Peroxiredoxin-6,4,4,512557,358749,171779,628848,,,334466,219216,,429609,274222,941921,,,217766,493165,364982,,,363607,,259590,330927,402901,,161024,689495,165393,438741,,,263925
P30043,BLVRB_HUMAN,BLVRB,Flavin reductase (NADPH),4,4,952066,358008,199245,411515,213278,408936,580141,522237,226846,339258,436871,802817,,,184987,76691,409054,194810,456519,590431,173928,422199,397439,380148,69287,190097,668975,115402,207343,278410,,350001
P31151,S10A7_HUMAN,S100A7,Protein S100-A7,5,5,,3708940,,266961000,,,,,,1327160,3133500,,,5911040,,,,,,1477340,,,910642,,800556,830043,,1177280,,,,
P31944,CASPE_HUMAN,CASP14,Caspase-14,3,3,,,,4235920,,,,,,,,,,3268890,,,,,,,,,,,,,,,,,,
P31947,1433S_HUMAN,SFN,14-3-3 protein sigma,1,1,,,,24926000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31949,S10AB_HUMAN,S100A11,Protein S100-A11,2,2,,,,20006500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P32119,PRDX2_HUMAN,PRDX2,Peroxiredoxin-2,3,3,8492250,4756640,2020090,5367660,1882760,4515240,4566380,2856690,1946920,2237320,3980760,13416400,,1182840,3471610,797358,4649370,1803200,3971210,3294270,1914140,3301100,3782960,3024150,552808,1491800,5785140,688249,1172820,1531030,758575,4089140
P33151,CADH5_HUMAN,CDH5,Cadherin-5,7,7,2793770,2085260,2082370,2132090,3009990,2645850,1536100,1868850,1351060,1885810,2044040,1783800,,,2177490,2206040,2415350,3116630,2170160,2274210,2437410,2659650,2293680,2587550,1544690,3466820,2429620,1756020,2868700,3115700,,1798790
P33527,MRP1_HUMAN,ABCC1,Multidrug resistance-associated protein 1,1,1,,,,279884,,,,,,,80252,,,,,,,573794,370726,,,,242310,64342,,616138,43693,,570398,61262,,213076
P33908,MA1A1_HUMAN,MAN1A1,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",4,4,733627,1079160,480287,2352740,1386240,2021360,831701,834371,1161010,1156360,1678690,,,,,561778,803100,1185970,1105600,1040780,1039010,1043950,1599950,1118720,596038,1464530,,828706,562071,1071780,,
P35527,K1C9_HUMAN,KRT9,"Keratin, type I cytoskeletal 9",9,9,1306120,4173650,721718,2757040,421803,3428760,397902,490991,456913,2979190,6759630,452246,,,426665,1118170,1058810,1332200,,2154420,,710665,1337210,598441,1950030,1625650,1869810,1252340,2596060,389600,,652267
P35542,SAA4_HUMAN,SAA4,Serum amyloid A-4 protein,2,2,11747800,21035600,4464680,12294100,21705800,6594380,2757060,9036360,7104770,4082390,8661140,,,3785860,23090600,10904300,22546500,16767300,13578900,4621880,13304900,11426900,12449200,11542900,2876410,6381710,10607100,,9487380,7211200,10135800,6074530
P35579,MYH9_HUMAN,MYH9,Myosin-9,38,38,726510,3850490,,5048410,648632,1156470,777315,688433,,4346100,2496680,1770920,,,1904820,9997120,4595220,,771107,5586860,1118420,2206260,2380360,2862680,4168290,975467,6316970,1724300,12206200,2369000,1776170,455433
P35858,ALS_HUMAN,IGFALS,Insulin-like growth factor-binding protein complex acid labile subunit,16,16,47339800,27735700,28356300,49626800,35523900,42734900,19887000,28400700,59746900,36923400,33990500,46005100,36510800,29753300,32410600,41211800,30938400,43008000,17280700,33025100,61196500,35975800,35665900,16243300,27143700,40197200,50078500,29334300,33626600,23202600,31676400,50800800
P35908,K22E_HUMAN,KRT2,"Keratin, type II cytoskeletal 2 epidermal",10,10,1051950,5840120,2282050,36125600,,6066670,,1257830,,3699710,4093480,1446580,,3055480,,,1161970,4351630,,2300480,,2627580,2735820,1122230,1495410,2468550,4344060,,3250300,708544,,
P36955,PEDF_HUMAN,SERPINF1,Pigment epithelium-derived factor,14,14,110183000,58763600,81911100,103234000,94807300,78370300,71669400,118555000,89693400,85164400,71932900,90136900,145719000,98558000,68274400,79807900,90389900,81531200,69259300,139295000,83481400,90246800,72238800,69352300,87096400,86258400,84042400,82912400,56010500,90657200,84341600,100492000
P36980,FHR2_HUMAN,CFHR2,Complement factor H-related protein 2,3,3,27445100,10533600,21437300,10110900,25432300,32443000,22524700,17715800,26843100,18253900,26913300,14669400,27547700,16135200,19573500,26148900,25549200,27533400,22116600,30710300,29000500,16708100,25800700,13731200,32816300,26999400,11717300,34807100,13158200,16427300,14950000,13894500
P37802,TAGL2_HUMAN,TAGLN2,Transgelin-2,7,7,,789869,,1607000,,414792,,,,1005120,453902,,,,615869,2363650,780818,,,687464,,,576476,764845,,,1611310,,1828950,379583,551663,
P39060,COIA1_HUMAN,COL18A1,Collagen alpha-1(XVIII) chain,1,1,,,108661,,,73247,51708,92784,38900,35357,66163,,,,,43516,,68748,83862,124855,,30241,,,80107,89227,89372,53567,48101,50038,,
P39086,GRIK1_HUMAN,GRIK1,"Glutamate receptor ionotropic, kainate 1",1,1,587778,1345000,821454,533266,1058380,923266,735946,530467,,1014270,404955,2105320,3321000,1847880,1123040,635979,2264540,550695,1190290,959935,1595570,860774,424236,353846,1116260,1454930,1912220,,,895333,1929360,651808
P41222,PTGDS_HUMAN,PTGDS,Prostaglandin-H2 D-isomerase,2,2,2203560,2083420,1789020,2095910,2000260,2662970,2206500,2542570,1325340,,2024320,1183140,2565180,,2147920,2045630,2680340,3083680,2663680,3194690,2262760,2564000,2096290,2124450,2592180,3099430,1130780,1828770,953309,2766890,1514020,1553280
P42357,HUTH_HUMAN,HAL,Histidine ammonia-lyase,1,1,,,,840408,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P42702,LIFR_HUMAN,LIFR,Leukemia inhibitory factor receptor,1,1,179320000,564516000,112230000,464466000,157850000,212680000,410757000,133860000,236269000,316498000,242263000,455804000,364734000,368329000,1143200000,222606000,847555000,749106000,559222000,55688000,347400000,346824000,335865000,420578000,182065000,71965500,255768000,,,30956000,258356000,277088000
P43121,MUC18_HUMAN,MCAM,Cell surface glycoprotein MUC18,2,2,193588,117762,185252,196330,142567,215013,248768,185869,167143,75334,145715,220347,,301774,171015,257422,150144,182183,220616,187772,102533,,,245866,119239,170250,141697,269715,127217,209796,200679,202954
P43251,BTD_HUMAN,BTD,Biotinidase,8,8,9275310,6270890,6611080,8159380,5971660,5628560,6782770,6228480,7161750,5145150,4734780,14525700,10365900,7953690,7546670,11484500,8150820,7320660,4923560,3967960,6473150,4786320,8496620,8470010,6263960,5544930,5707190,6083450,4457050,4101210,7077560,9637000
P43652,AFAM_HUMAN,AFM,Afamin,21,21,280981000,156570000,204235000,265350000,249933000,233576000,222992000,338677000,247499000,197269000,195053000,366554000,264887000,220508000,164540000,287613000,212332000,235754000,191775000,301609000,223933000,198624000,157281000,155491000,222141000,259134000,200114000,145781000,173224000,246719000,129787000,216543000
P46782,RS5_HUMAN,RPS5,Small ribosomal subunit protein uS7,1,1,,,,5181470,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P47929,LEG7_HUMAN,LGALS7,Galectin-7,4,4,,,,30677300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P48059,LIMS1_HUMAN,LIMS1,LIM and senescent cell antigen-like-containing domain protein 1,3,3,,,,,,,,,,,,,,,,197858,,,,,,,,,,,194457,,310144,,,
P48594,SPB4_HUMAN,SERPINB4,Serpin B4,5,5,,,,3295860,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P48740,MASP1_HUMAN,MASP1,Mannan-binding lectin serine protease 1,9,9,16792800,12895000,15265700,18492300,12425700,17812800,18048700,16346500,14800400,7481900,17196600,13734500,6499260,10748700,12174800,15683200,13193000,18208700,15197000,14879800,10700100,7564400,14934000,10207800,15689500,15744500,13197800,15595400,9984310,20257300,11176000,12809100
P49427,UB2R1_HUMAN,CDC34,Ubiquitin-conjugating enzyme E2 R1,1,1,24123100,7841360,8325700,10099500,9955190,11050600,16111100,12852400,,6975630,,32170200,,,7947540,,11303300,9177210,12157100,14394700,,6313000,10367000,10002800,,8121080,14852600,,5274290,6844130,,11636100
P49747,COMP_HUMAN,COMP,Cartilage oligomeric matrix protein,9,9,1325240,428642,1535880,1372000,1092120,991307,1739760,995513,721334,764716,1067980,683086,,485452,1505610,975755,1104650,1562470,1690500,900960,908092,1001690,1178970,1591410,1041390,1177100,924562,1375260,1722640,1370580,,938866
P49908,SEPP1_HUMAN,SELENOP,Selenoprotein P,4,4,7431580,10222100,8170020,12373100,4427090,7033400,6644580,7922360,8378250,7801580,10691100,4171910,1940640,3250990,8500910,11252700,6070060,7028370,8458330,9997910,8252490,8142830,7294250,7438680,8700490,11267300,8341780,7106470,5952260,10122600,4314890,4934310
P51451,BLK_HUMAN,BLK,Tyrosine-protein kinase Blk,1,1,275226,797288,,1685450,255203,362054,273802,284693,293146,296668,340458,,,,1093980,,915466,918364,720018,79082,430632,349180,894242,1122660,,,261919,,78143,,,173321
P51812,KS6A3_HUMAN,RPS6KA3,Ribosomal protein S6 kinase alpha-3,1,1,43135100,33554000,44309300,37607000,35099200,36695900,32650900,40972900,34998000,37391200,35611300,36935800,33982100,28885100,41584300,34298500,36440000,33709700,31872000,49923500,40993700,38042300,27007400,30349600,41404700,40034500,32413200,12566400,8216820,32106100,31898400,26240000
P51884,LUM_HUMAN,LUM,Lumican,10,10,45338200,36287700,62157600,39418900,57024800,42917500,52474100,49410900,39913700,31188900,54787900,53659600,73402900,51307900,56223500,51238100,52397900,62869800,55786400,47212700,49004200,46462100,50075700,39052500,43307900,66939400,32458100,44979800,54287600,51204300,46577700,32459800
P55056,APOC4_HUMAN,APOC4,Apolipoprotein C-IV,2,2,20131200,13509200,19220700,35474300,13027000,29294500,10566300,13625200,9006740,32455900,21820000,12744300,,,31534700,8968060,12566300,49156700,16303900,7571900,8338350,23980800,16440100,8196490,15047900,15072800,12723800,3774770,15665900,12985600,10879400,16327900
P55058,PLTP_HUMAN,PLTP,Phospholipid transfer protein,7,7,44953500,33842000,37585900,45120100,42487100,38646700,41760300,39984200,39049200,36432700,48718200,33988200,35052500,28732100,45139300,33406200,56701700,54644100,38093800,29489100,53025400,39317800,49589200,26814800,29494000,42526500,39444800,38879500,38760900,36307700,26008800,32364700
P55072,TERA_HUMAN,VCP,Transitional endoplasmic reticulum ATPase,2,2,,,,769929,,,,,,,,,,,,,,,,,,,,,,,110595,,105573,,,
P55290,CAD13_HUMAN,CDH13,Cadherin-13,1,1,,,,,,,,,,,,,,,,226660,,,,,,,,,,,,,273062,,,
P60174,TPIS_HUMAN,TPI1,Triosephosphate isomerase,3,3,,,,933539,,,43628,,,,,,,,,173388,,,,158755,,43976,62136,,,,211980,,76784,,,
P60660,MYL6_HUMAN,MYL6,Myosin light polypeptide 6,5,5,,1668140,,1742580,,,,,,1634860,949225,720122,,,561641,3600840,1397300,,,2478240,,974910,763454,990483,1366930,,2337620,917120,4074850,940344,,
P60709,ACTB_HUMAN,ACTB,"Actin, cytoplasmic 1",12,12,21566200,127223000,16176200,188132000,20455000,84685100,48879100,52371300,9428570,151289000,85820900,98801900,135257000,58697500,69554500,341854000,131690000,22358800,37792100,194208000,39524600,94844500,71235100,109669000,135409000,33909500,327400000,63301500,327116000,87022600,135366000,27728200
P60842,IF4A1_HUMAN,EIF4A1,Eukaryotic initiation factor 4A-I,2,2,,,,1869160,,,,,,,,,,,,,,,,,,,,,,,211559,,146396,,,
P61158,ARP3_HUMAN,ACTR3,Actin-related protein 3,1,1,,,,300405,,,,,,,,,,,,207544,,,,,,,,,,,408106,,298411,,,
P61160,ARP2_HUMAN,ACTR2,Actin-related protein 2,1,1,,,,436960,,,,,,,,,,,,,,,,,,,,,,,326007,,212065,,,
P61224,RAP1B_HUMAN,RAP1B,Ras-related protein Rap-1b,4,4,,,,1216230,,,,,,1903850,3666730,1373440,,,1462480,3957430,3034200,,,1749830,,,3748270,1958440,1390100,,2495700,750196,3952590,1162390,,
P61626,LYSC_HUMAN,LYZ,Lysozyme C,3,3,5658120,3414080,5814180,5300330,4973970,7641990,4318240,7068900,7124930,8455730,5377370,6497400,3551090,4379000,4708860,5082010,8794680,5986560,4332450,8264700,6868040,6858280,3953260,3062910,5177030,8642110,8505220,6091400,3542510,6690740,4656230,7414090
P61769,B2MG_HUMAN,B2M,Beta-2-microglobulin,1,1,11631700,8979090,11139500,16025100,11662200,11772400,8677540,15681000,11053500,10220500,9209000,11966700,14167600,5814920,12461900,8000300,14174200,12260900,12870000,18005300,11349900,10772400,13575900,7129820,15250500,16302000,14440800,13665400,6436960,14512800,12130000,6579730
P61916,NPC2_HUMAN,NPC2,NPC intracellular cholesterol transporter 2,1,1,8469,6933,,14051,8163,,,,8239,,,,,,7297,,,,4583,,6627,8030,,,,9117,,,3324,6810,,
P61981,1433G_HUMAN,YWHAG,14-3-3 protein gamma,1,1,,,,87069,,,,,,,,,,,,79308,,,,65757,,,,,50561,,113286,,90152,15143,,
P62258,1433E_HUMAN,YWHAE,14-3-3 protein epsilon,3,3,769288,3143420,,11209200,398848,2480560,1814650,1480720,,4183270,2123500,2437190,12211100,684201,2993720,15838600,4322610,,1171350,4408480,1394560,3325870,1953210,4780750,4856580,1129160,9259770,1456680,10746200,2174650,4255160,938648
P62805,H4_HUMAN,H4C1,Histone H4,2,2,,,,9195300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62807,H2B1C_HUMAN,H2BC4,Histone H2B type 1-C/E/F/G/I,2,2,,,,20551700,,,,,,,,,,,,,,,,308077,,,,937520,,,3155400,,,,,
P62937,PPIA_HUMAN,PPIA,Peptidyl-prolyl cis-trans isomerase A,4,4,2398510,2890720,1019470,7985490,1421950,1959220,2528330,2027130,1269170,3114970,2047960,2706050,,,2738020,9376200,3843400,,1694510,5252900,1779500,3122490,2304440,3269040,3407650,2116090,7870070,2142550,6707500,2954200,3772000,
P62979,RS27A_HUMAN,RPS27A,Ubiquitin-ribosomal protein eS31 fusion protein,2,2,3323260,2026230,1103630,19759200,813850,1448310,1624370,1850750,964247,1471720,1618400,3374480,,3710170,1400060,1798420,2014150,1074100,1326110,2034950,1106980,1316220,1477330,1487280,1221200,1218060,4073920,852071,1968380,925814,907240,1521080
P63104,1433Z_HUMAN,YWHAZ,14-3-3 protein zeta/delta,3,3,,2084680,,9717420,,2012890,1040570,1051610,,1740940,1645010,1672000,,,,4831300,1710070,,,3720280,,1492420,1025010,1327820,2956640,791053,4955960,1223040,6992330,1615330,1222730,
P63241,IF5A1_HUMAN,EIF5A,Eukaryotic translation initiation factor 5A-1,1,1,,38659,,304677,,,44506,,,45178,,,,,,110885,,,,,,33661,,,44164,,,,77598,,,
P63244,RACK1_HUMAN,RACK1,Small ribosomal subunit protein RACK1,1,1,,,,1448790,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P67936,TPM4_HUMAN,TPM4,Tropomyosin alpha-4 chain,2,2,,772443,,801500,,,127756,250287,,687123,363591,,,,,535202,,,154387,488488,,464134,263814,447190,,,625451,,1629430,321461,,
P68104,EF1A1_HUMAN,EEF1A1,Elongation factor 1-alpha 1,1,1,,,,1525040,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P68133,ACTS_HUMAN,ACTA1,"Actin, alpha skeletal muscle",1,1,17152700,100326000,11816500,140440000,14166700,54747800,31415600,42423400,6425230,121644000,56010600,47875500,,7380370,51204100,186739000,80578400,13177900,23020000,133332000,31399200,66627800,53917400,72149500,86805500,22056700,198825000,39197100,186804000,59760500,28609600,12302100
P68363,TBA1B_HUMAN,TUBA1B,Tubulin alpha-1B chain,4,4,,1200950,,1906920,,,,,,1275500,,909636,,,,2783490,1384970,,,1097010,,,,,1614520,,2006410,1005120,3455370,,,
P68366,TBA4A_HUMAN,TUBA4A,Tubulin alpha-4A chain,1,1,,259736,,,,,,,,428735,153698,,,,,984642,239300,,,294694,,,,,345179,,1038120,191032,750654,,,
P68371,TBB4B_HUMAN,TUBB4B,Tubulin beta-4B chain,1,1,,,,766216,,,,,,,,,,,,556892,,,,,,,,,,,,,581473,,,
P68871,HBB_HUMAN,HBB,Hemoglobin subunit beta,22,22,3968090000,1821200000,881049000,1563940000,1245820000,1592050000,2427550000,1829000000,770329000,1299290000,1597160000,5402280000,3403730000,1432840000,1296100000,525780000,1618220000,924437000,1968540000,1818250000,982797000,1399180000,1375490000,1614710000,436294000,786209000,2501830000,580306000,877501000,1148680000,1355580000,1791990000
P69891,HBG1_HUMAN,HBG1,Hemoglobin subunit gamma-1,5,5,15273800,1123320,1626480,2025740,776591,453244,,1578710,1864370,944538,452063,,,,2061380,,1437650,1040280,,736985,1215210,788149,,1308730,,,2513460,,901106,2297910,,2379100
P69892,HBG2_HUMAN,HBG2,Hemoglobin subunit gamma-2,1,1,5782930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P69905,HBA_HUMAN,HBA1,Hemoglobin subunit alpha,9,9,5351340000,2162920000,1130150000,2026080000,1514080000,1783720000,2392490000,2206920000,996998000,1379140000,1958840000,2920310000,727626000,564026000,1475770000,529977000,1779280000,986799000,2321660000,2097360000,1375520000,1466340000,1476250000,2074740000,542020000,1015790000,2979650000,742386000,902089000,1448780000,618927000,1432460000
P78312,F193A_HUMAN,FAM193A,Protein FAM193A,1,1,9926810,,10353700,12576100,10501000,17325300,14729700,12180900,9733080,7905820,14360800,8066940,7367460,,8933320,8367020,11305800,13068700,12194200,11415700,12329900,10696000,13669800,7877900,9780710,13916500,11063100,10780100,,12990500,13249400,11095100
P78357,CNTP1_HUMAN,CNTNAP1,Contactin-associated protein 1,1,1,23643700,33227800,25234500,36554200,22129900,,19501600,27717900,6109990,32089900,19807400,320705,,1946660,12412800,3656710,9875550,34653500,40225600,29171000,37286300,33405800,28009100,18673400,27589400,,28274000,23822800,14442400,25993700,3736260,2265100
P78545,ELF3_HUMAN,ELF3,ETS-related transcription factor Elf-3,1,1,,,,,,,,,,,,,,,,327155,,,,,,,,1088770,4053570,,,,179577,,,
