uniprot_id,gene,n_miss,pct_miss,mean_int,class
P60981,DSTN,0,0,20.786811527184376,Complete
Q16134,ETFDH,0,0,20.884438429524224,Complete
P09936,UCHL1,0,0,20.709949960859806,Complete
Q08257,CRYZ,0,0,20.902999982030956,Complete
Q9Y394,DHRS7,0,0,20.953258276966242,Complete
P60033,CD81,0,0,19.97949862721802,Complete
O00410,IPO5,0,0,20.87367574833135,Complete
O75531,BANF1,0,0,20.826321959582376,Complete
P67775,PPP2CA,0,0,20.8832158734222,Complete
P43304,GPD2,0,0,20.87584213155229,Complete
Q14195,DPYSL3,0,0,20.840755293012688,Complete
O43488,AKR7A2,0,0,20.889548190888274,Complete
Q9NSE4,IARS2,0,0,20.894022799796915,Complete
Q9UNZ2,NSFL1C,0,0,20.891766243736622,Complete
P35268,RPL22,0,0,20.887272397218702,Complete
Q9H8H3,METTL7A,0,0,20.881140502411576,Complete
P62873,GNB1,0,0,20.612884074320707,Complete
A6NDG6,PGP,1,2.564102564102564,20.863485293300084,MAR
Q00610,CLTC,0,0,20.70817481899304,Complete
P50993,ATP1A2,2,5.128205128205128,20.721496867692444,MAR
P54725,RAD23A,0,0,20.787307420686332,Complete
O60888,CUTA,3,7.6923076923076925,20.83475644277552,MNAR
P35237,SERPINB6,0,0,20.848462496029722,Complete
P31939,ATIC,0,0,20.801427657066995,Complete
P42704,LRPPRC,0,0,20.827950195180343,Complete
P16083,NQO2,2,5.128205128205128,20.673457034072435,MAR
Q13522,PPP1R1A,2,5.128205128205128,20.755968820361396,MAR
P30520,ADSS2,0,0,20.673370808037735,Complete
P08294,SOD3,0,0,19.86517737835471,Complete
Q96A26,FAM162A,0,0,20.56801532022802,Complete
P25786,PSMA1,0,0,20.779786726900472,Complete
O75380,NDUFS6,0,0,20.678104981806786,Complete
P09525,ANXA4,0,0,20.61100154654128,Complete
P23284,PPIB,0,0,20.50357178266677,Complete
P46777,RPL5,0,0,20.769604865620675,Complete
Q9UII2,ATP5IF1,9,23.076923076923077,20.038410725998663,MNAR
P55822,SH3BGR,2,5.128205128205128,20.595185502792628,MAR
O14732,IMPA2,3,7.6923076923076925,20.658417724878014,MNAR
Q96FJ2,DYNLL2,0,0,20.38251303555819,Complete
P20340,RAB6A,0,0,20.670819113738414,Complete
P23396,RPS3,0,0,20.75847231341457,Complete
Q96RP9,GFM1,4,10.256410256410255,20.721480790735786,MNAR
P05023,ATP1A1,0,0,20.756040683130525,Complete
P54727,RAD23B,0,0,20.625505601145488,Complete
P35908,KRT2,4,10.256410256410255,20.043671494018223,MNAR
P02649,APOE,0,0,19.612093597474875,Complete
Q9BSH4,TACO1,6,15.384615384615385,20.53408490245357,MNAR
P49721,PSMB2,0,0,20.677886982394472,Complete
P48163,ME1,0,0,20.729787810579147,Complete
Q15233,NONO,1,2.564102564102564,20.671945950321497,MAR
Q9BX68,HINT2,1,2.564102564102564,20.579494492526873,MAR
O75251,NDUFS7,3,7.6923076923076925,20.552135765731176,MNAR
P05452,CLEC3B,0,0,19.886074872728177,Complete
P46020,PHKA1,4,10.256410256410255,20.677180666177684,MNAR
Q9NX63,CHCHD3,0,0,20.61956406655553,Complete
Q5BKX8,CAVIN4,2,5.128205128205128,20.385818703478744,MAR
Q9Y376,CAB39,1,2.564102564102564,20.658714388254467,MAR
Q86SX6,GLRX5,3,7.6923076923076925,20.574219821175134,MNAR
P21399,ACO1,0,0,20.6616521660569,Complete
P35613,BSG,0,0,20.673112936594283,Complete
P13797,PLS3,0,0,20.285716776132972,Complete
Q13885,TUBB2A,0,0,20.351877014500857,Complete
P36969,GPX4,0,0,20.609358665395455,Complete
Q9Y613,FHOD1,3,7.6923076923076925,20.65134100887168,MNAR
P60891,PRPS1,0,0,20.473821096347827,Complete
P00488,F13A1,0,0,20.08129652188471,Complete
Q5XKP0,MICOS13,6,15.384615384615385,20.524044446456568,MNAR
P61457,PCBD1,0,0,20.627803490131647,Complete
P26885,FKBP2,0,0,20.567862456016524,Complete
Q8N8N7,PTGR2,1,2.564102564102564,20.587448290485753,MAR
Q96AB3,ISOC2,0,0,20.578781937603278,Complete
Q14974,KPNB1,0,0,20.621944794367316,Complete
O75306,NDUFS2,1,2.564102564102564,20.550077038209956,MAR
O75347,TBCA,0,0,20.503539427795832,Complete
Q99733,NAP1L4,0,0,20.64935596384161,Complete
P23786,CPT2,0,0,20.57538551040016,Complete
Q9Y623,MYH4,5,12.82051282051282,19.994272041894554,MNAR
P40227,CCT6A,0,0,20.572172158465467,Complete
P46734,MAP2K3,2,5.128205128205128,20.549577283052432,MAR
Q9H0E2,TOLLIP,0,0,20.574324796058956,Complete
Q6UXV4,APOOL,1,2.564102564102564,20.506827082037383,MAR
P54284,CACNB3,3,7.6923076923076925,20.568561883640186,MNAR
P00390,GSR,0,0,20.550483183537562,Complete
P28070,PSMB4,1,2.564102564102564,20.548659302891075,MAR
P16930,FAH,0,0,20.189305896775878,Complete
P61769,B2M,0,0,19.698135854323066,Complete
P05556,ITGB1,0,0,20.253588952807092,Complete
Q2TBA0,KLHL40,2,5.128205128205128,20.39281738588677,MAR
O95445,APOM,4,10.256410256410255,19.24284680932006,MNAR
O75155,CAND2,2,5.128205128205128,20.53048671843934,MAR
Q15907,RAB11B,0,0,20.396637704173692,Complete
P62140,PPP1CB,0,0,20.55259921170477,Complete
P52758,RIDA,0,0,20.51486738103302,Complete
P07741,APRT,0,0,20.428335076209017,Complete
P35555,FBN1,0,0,19.770116434553497,Complete
P11586,MTHFD1,0,0,20.541438635845516,Complete
Q9Y6M9,NDUFB9,2,5.128205128205128,20.422403118851033,MAR
P34932,HSPA4,0,0,20.52928415313675,Complete
