uniprot_id,gene,description,is_keratin,reason
P01743,IGHV1-46,Immunoglobulin heavy variable 1-46,FALSE,Missingness
P01877,IGHA2,Immunoglobulin heavy constant alpha 2,FALSE,Missingness
P01880,IGHD,Immunoglobulin heavy constant delta,FALSE,Missingness
P02100,HBE1,Hemoglobin subunit epsilon,FALSE,Missingness
P02533,KRT14,"Keratin, type I cytoskeletal 14",TRUE,Contaminant
P02538,KRT6A,"Keratin, type II cytoskeletal 6A",TRUE,Contaminant
P02545,LMNA,Prelamin-A/C,FALSE,Missingness
P02730,SLC4A1,Band 3 anion transport protein,FALSE,Missingness
P03950,ANG,Angiogenin,FALSE,Missingness
P03999,OPN1SW,Short-wave-sensitive opsin 1,FALSE,Missingness
P04075,ALDOA,Fructose-bisphosphate aldolase A,FALSE,Missingness
P04080,CSTB,Cystatin-B,FALSE,Missingness
P04083,ANXA1,Annexin A1,FALSE,Missingness
P04259,KRT6B,"Keratin, type II cytoskeletal 6B",TRUE,Contaminant
P04264,KRT1,"Keratin, type II cytoskeletal 1",TRUE,Contaminant
P04433,IGKV3-11,Immunoglobulin kappa variable 3-11,FALSE,Missingness
P04439,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",FALSE,Missingness
P04745,,,FALSE,Missingness
P04792,HSPB1,Heat shock protein beta-1,FALSE,Missingness
P04920,SLC4A2,Anion exchange protein 2,FALSE,Missingness
P05026,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,FALSE,Missingness
P05089,ARG1,Arginase-1,FALSE,Missingness
P05106,ITGB3,Integrin beta-3,FALSE,Missingness
P05556,ITGB1,Integrin beta-1,FALSE,Missingness
P05787,KRT8,"Keratin, type II cytoskeletal 8",TRUE,Contaminant
P06576,ATP5F1B,"ATP synthase subunit beta, mitochondrial",FALSE,Missingness
P06744,GPI,Glucose-6-phosphate isomerase,FALSE,Missingness
P06753,TPM3,Tropomyosin alpha-3 chain,FALSE,Missingness
P07333,CSF1R,Macrophage colony-stimulating factor 1 receptor,FALSE,Missingness
P07355,ANXA2,Annexin A2,FALSE,Missingness
P07900,HSP90AA1,Heat shock protein HSP 90-alpha,FALSE,Missingness
P07988,SFTPB,Pulmonary surfactant-associated protein B,FALSE,Missingness
P07998,RNASE1,Ribonuclease pancreatic,FALSE,Missingness
P08238,HSP90AB1,Heat shock protein HSP 90-beta,FALSE,Missingness
P08567,PLEK,Pleckstrin,FALSE,Missingness
P08637,FCGR3A,Low affinity immunoglobulin gamma Fc region receptor III-A,FALSE,Missingness
P08727,KRT19,"Keratin, type I cytoskeletal 19",TRUE,Contaminant
P08779,KRT16,"Keratin, type I cytoskeletal 16",TRUE,Contaminant
P08865,RPSA,Small ribosomal subunit protein uS2,FALSE,Missingness
